id,sex,age,social_class,survived
0,1,22.0,3.0,no
1,0,38.0,1.0,yes
2,0,26.0,3.0,yes
3,0,35.0,1.0,yes
4,1,35.0,3.0,no
5,1,29.69911764705882,3.0,no
6,1,54.0,1.0,no
7,1,2.0,3.0,no
8,0,27.0,3.0,yes
9,0,14.0,2.0,yes
10,0,4.0,3.0,yes
11,0,58.0,1.0,yes
12,1,20.0,3.0,no
13,1,39.0,3.0,no
14,0,14.0,3.0,no
15,0,55.0,2.0,yes
16,1,2.0,3.0,no
17,1,29.69911764705882,2.0,yes
18,0,31.0,3.0,no
19,0,29.69911764705882,3.0,yes
20,1,35.0,2.0,no
21,1,34.0,2.0,yes
22,0,15.0,3.0,yes
23,1,28.0,1.0,yes
24,0,8.0,3.0,no
25,0,38.0,3.0,yes
26,1,29.69911764705882,3.0,no
27,1,19.0,1.0,no
28,0,29.69911764705882,3.0,yes
29,1,29.69911764705882,3.0,no
30,1,40.0,1.0,no
31,0,29.69911764705882,1.0,yes
32,0,29.69911764705882,3.0,yes
33,1,66.0,2.0,no
34,1,28.0,1.0,no
35,1,42.0,1.0,no
36,1,29.69911764705882,3.0,yes
37,1,21.0,3.0,no
38,0,18.0,3.0,no
39,0,14.0,3.0,yes
40,0,40.0,3.0,no
41,0,27.0,2.0,no
42,1,29.69911764705882,3.0,no
43,0,3.0,2.0,yes
44,0,19.0,3.0,yes
45,1,29.69911764705882,3.0,no
46,1,29.69911764705882,3.0,no
47,0,29.69911764705882,3.0,yes
48,1,29.69911764705882,3.0,no
49,0,18.0,3.0,no
50,1,7.0,3.0,no
51,1,21.0,3.0,no
52,0,49.0,1.0,yes
53,0,29.0,2.0,yes
54,1,65.0,1.0,no
55,1,29.69911764705882,1.0,yes
56,0,21.0,2.0,yes
57,1,28.5,3.0,no
58,0,5.0,2.0,yes
59,1,11.0,3.0,no
60,1,22.0,3.0,no
61,0,38.0,1.0,yes
62,1,45.0,1.0,no
63,1,4.0,3.0,no
64,1,29.69911764705882,1.0,no
65,1,29.69911764705882,3.0,yes
66,0,29.0,2.0,yes
67,1,19.0,3.0,no
68,0,17.0,3.0,yes
69,1,26.0,3.0,no
70,1,32.0,2.0,no
71,0,16.0,3.0,no
72,1,21.0,2.0,no
73,1,26.0,3.0,no
74,1,32.0,3.0,yes
75,1,25.0,3.0,no
76,1,29.69911764705882,3.0,no
77,1,29.69911764705882,3.0,no
78,1,0.83,2.0,yes
79,0,30.0,3.0,yes
80,1,22.0,3.0,no
81,1,29.0,3.0,yes
82,0,29.69911764705882,3.0,yes
83,1,28.0,1.0,no
84,0,17.0,2.0,yes
85,0,33.0,3.0,yes
86,1,16.0,3.0,no
87,1,29.69911764705882,3.0,no
88,0,23.0,1.0,yes
89,1,24.0,3.0,no
90,1,29.0,3.0,no
91,1,20.0,3.0,no
92,1,46.0,1.0,no
93,1,26.0,3.0,no
94,1,59.0,3.0,no
95,1,29.69911764705882,3.0,no
96,1,71.0,1.0,no
97,1,23.0,1.0,yes
98,0,34.0,2.0,yes
99,1,34.0,2.0,no
100,0,28.0,3.0,no
101,1,29.69911764705882,3.0,no
102,1,21.0,1.0,no
103,1,33.0,3.0,no
104,1,37.0,3.0,no
105,1,28.0,3.0,no
106,0,21.0,3.0,yes
107,1,29.69911764705882,3.0,yes
108,1,38.0,3.0,no
109,0,29.69911764705882,3.0,yes
110,1,47.0,1.0,no
111,0,14.5,3.0,no
112,1,22.0,3.0,no
113,0,20.0,3.0,no
114,0,17.0,3.0,no
115,1,21.0,3.0,no
116,1,70.5,3.0,no
117,1,29.0,2.0,no
118,1,24.0,1.0,no
119,0,2.0,3.0,no
120,1,21.0,2.0,no
121,1,29.69911764705882,3.0,no
122,1,32.5,2.0,no
123,0,32.5,2.0,yes
124,1,54.0,1.0,no
125,1,12.0,3.0,yes
126,1,29.69911764705882,3.0,no
127,1,24.0,3.0,yes
128,0,29.69911764705882,3.0,yes
129,1,45.0,3.0,no
130,1,33.0,3.0,no
131,1,20.0,3.0,no
132,0,47.0,3.0,no
133,0,29.0,2.0,yes
134,1,25.0,2.0,no
135,1,23.0,2.0,no
136,0,19.0,1.0,yes
137,1,37.0,1.0,no
138,1,16.0,3.0,no
139,1,24.0,1.0,no
140,0,29.69911764705882,3.0,no
141,0,22.0,3.0,yes
142,0,24.0,3.0,yes
143,1,19.0,3.0,no
144,1,18.0,2.0,no
145,1,19.0,2.0,no
146,1,27.0,3.0,yes
147,0,9.0,3.0,no
148,1,36.5,2.0,no
149,1,42.0,2.0,no
150,1,51.0,2.0,no
151,0,22.0,1.0,yes
152,1,55.5,3.0,no
153,1,40.5,3.0,no
154,1,29.69911764705882,3.0,no
155,1,51.0,1.0,no
156,0,16.0,3.0,yes
157,1,30.0,3.0,no
158,1,29.69911764705882,3.0,no
159,1,29.69911764705882,3.0,no
160,1,44.0,3.0,no
161,0,40.0,2.0,yes
162,1,26.0,3.0,no
163,1,17.0,3.0,no
164,1,1.0,3.0,no
165,1,9.0,3.0,yes
166,0,29.69911764705882,1.0,yes
167,0,45.0,3.0,no
168,1,29.69911764705882,1.0,no
169,1,28.0,3.0,no
170,1,61.0,1.0,no
171,1,4.0,3.0,no
172,0,1.0,3.0,yes
173,1,21.0,3.0,no
174,1,56.0,1.0,no
175,1,18.0,3.0,no
176,1,29.69911764705882,3.0,no
177,0,50.0,1.0,no
178,1,30.0,2.0,no
179,1,36.0,3.0,no
180,0,29.69911764705882,3.0,no
181,1,29.69911764705882,2.0,no
182,1,9.0,3.0,no
183,1,1.0,2.0,yes
184,0,4.0,3.0,yes
185,1,29.69911764705882,1.0,no
186,0,29.69911764705882,3.0,yes
187,1,45.0,1.0,yes
188,1,40.0,3.0,no
189,1,36.0,3.0,no
190,0,32.0,2.0,yes
191,1,19.0,2.0,no
192,0,19.0,3.0,yes
193,1,3.0,2.0,yes
194,0,44.0,1.0,yes
195,0,58.0,1.0,yes
196,1,29.69911764705882,3.0,no
197,1,42.0,3.0,no
198,0,29.69911764705882,3.0,yes
199,0,24.0,2.0,no
200,1,28.0,3.0,no
201,1,29.69911764705882,3.0,no
202,1,34.0,3.0,no
203,1,45.5,3.0,no
204,1,18.0,3.0,yes
205,0,2.0,3.0,no
206,1,32.0,3.0,no
207,1,26.0,3.0,yes
208,0,16.0,3.0,yes
209,1,40.0,1.0,yes
210,1,24.0,3.0,no
211,0,35.0,2.0,yes
212,1,22.0,3.0,no
213,1,30.0,2.0,no
214,1,29.69911764705882,3.0,no
215,0,31.0,1.0,yes
216,0,27.0,3.0,yes
217,1,42.0,2.0,no
218,0,32.0,1.0,yes
219,1,30.0,2.0,no
220,1,16.0,3.0,yes
221,1,27.0,2.0,no
222,1,51.0,3.0,no
223,1,29.69911764705882,3.0,no
224,1,38.0,1.0,yes
225,1,22.0,3.0,no
226,1,19.0,2.0,yes
227,1,20.5,3.0,no
228,1,18.0,2.0,no
229,0,29.69911764705882,3.0,no
230,0,35.0,1.0,yes
231,1,29.0,3.0,no
232,1,59.0,2.0,no
233,0,5.0,3.0,yes
234,1,24.0,2.0,no
235,0,29.69911764705882,3.0,no
236,1,44.0,2.0,no
237,0,8.0,2.0,yes
238,1,19.0,2.0,no
239,1,33.0,2.0,no
240,0,29.69911764705882,3.0,no
241,0,29.69911764705882,3.0,yes
242,1,29.0,2.0,no
243,1,22.0,3.0,no
244,1,30.0,3.0,no
245,1,44.0,1.0,no
246,0,25.0,3.0,no
247,0,24.0,2.0,yes
248,1,37.0,1.0,yes
249,1,54.0,2.0,no
250,1,29.69911764705882,3.0,no
251,0,29.0,3.0,no
252,1,62.0,1.0,no
253,1,30.0,3.0,no
254,0,41.0,3.0,no
255,0,29.0,3.0,yes
256,0,29.69911764705882,1.0,yes
257,0,30.0,1.0,yes
258,0,35.0,1.0,yes
259,0,50.0,2.0,yes
260,1,29.69911764705882,3.0,no
261,1,3.0,3.0,yes
262,1,52.0,1.0,no
263,1,40.0,1.0,no
264,0,29.69911764705882,3.0,no
265,1,36.0,2.0,no
266,1,16.0,3.0,no
267,1,25.0,3.0,yes
268,0,58.0,1.0,yes
269,0,35.0,1.0,yes
270,1,29.69911764705882,1.0,no
271,1,25.0,3.0,yes
272,0,41.0,2.0,yes
273,1,37.0,1.0,no
274,0,29.69911764705882,3.0,yes
275,0,63.0,1.0,yes
276,0,45.0,3.0,no
277,1,29.69911764705882,2.0,no
278,1,7.0,3.0,no
279,0,35.0,3.0,yes
280,1,65.0,3.0,no
281,1,28.0,3.0,no
282,1,16.0,3.0,no
283,1,19.0,3.0,yes
284,1,29.69911764705882,1.0,no
285,1,33.0,3.0,no
286,1,30.0,3.0,yes
287,1,22.0,3.0,no
288,1,42.0,2.0,yes
289,0,22.0,3.0,yes
290,0,26.0,1.0,yes
291,0,19.0,1.0,yes
292,1,36.0,2.0,no
293,0,24.0,3.0,no
294,1,24.0,3.0,no
295,1,29.69911764705882,1.0,no
296,1,23.5,3.0,no
297,0,2.0,1.0,no
298,1,29.69911764705882,1.0,yes
299,0,50.0,1.0,yes
300,0,29.69911764705882,3.0,yes
301,1,29.69911764705882,3.0,yes
302,1,19.0,3.0,no
303,0,29.69911764705882,2.0,yes
304,1,29.69911764705882,3.0,no
305,1,0.92,1.0,yes
306,0,29.69911764705882,1.0,yes
307,0,17.0,1.0,yes
308,1,30.0,2.0,no
309,0,30.0,1.0,yes
310,0,24.0,1.0,yes
311,0,18.0,1.0,yes
312,0,26.0,2.0,no
313,1,28.0,3.0,no
314,1,43.0,2.0,no
315,0,26.0,3.0,yes
316,0,24.0,2.0,yes
317,1,54.0,2.0,no
318,0,31.0,1.0,yes
319,0,40.0,1.0,yes
320,1,22.0,3.0,no
321,1,27.0,3.0,no
322,0,30.0,2.0,yes
323,0,22.0,2.0,yes
324,1,29.69911764705882,3.0,no
325,0,36.0,1.0,yes
326,1,61.0,3.0,no
327,0,36.0,2.0,yes
328,0,31.0,3.0,yes
329,0,16.0,1.0,yes
330,0,29.69911764705882,3.0,yes
331,1,45.5,1.0,no
332,1,38.0,1.0,no
333,1,16.0,3.0,no
334,0,29.69911764705882,1.0,yes
335,1,29.69911764705882,3.0,no
336,1,29.0,1.0,no
337,0,41.0,1.0,yes
338,1,45.0,3.0,yes
339,1,45.0,1.0,no
340,1,2.0,2.0,yes
341,0,24.0,1.0,yes
342,1,28.0,2.0,no
343,1,25.0,2.0,no
344,1,36.0,2.0,no
345,0,24.0,2.0,yes
346,0,40.0,2.0,yes
347,0,29.69911764705882,3.0,yes
348,1,3.0,3.0,yes
349,1,42.0,3.0,no
350,1,23.0,3.0,no
351,1,29.69911764705882,1.0,no
352,1,15.0,3.0,no
353,1,25.0,3.0,no
354,1,29.69911764705882,3.0,no
355,1,28.0,3.0,no
356,0,22.0,1.0,yes
357,0,38.0,2.0,no
358,0,29.69911764705882,3.0,yes
359,0,29.69911764705882,3.0,yes
360,1,40.0,3.0,no
361,1,29.0,2.0,no
